"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Coded modulation with time diversity, unequal error protection, and low delay for the Rayleigh fading channel","N. Seshadri; C. . -E. W. Sundberg","Signal Processing Research Department, AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA; Signal Processing Research Department, AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA",1st International Conference on Universal Personal Communications - ICUPC '92 Proceedings,"6 Aug 2002","1992","","","11.01/1","11.01/5","Block coded 8-DPSK modulations are presented for the time selective Rayleigh fading channel for digital cellular radio. These coded modulations are based on multi-level code constructions and utilize short binary block codes of length 2 to 8 (binary symbols) as building blocks to construct 8-DPSK codes of length 2 to 8 respectively. All the constructed block coded modulations have built in time diversity of at least 2 to combat Rayleigh fading. Unequal error protection is obtained by providing higher time diversity through code selection for the important data and by using a nonuniform signal constellation that provides higher signal constellation Euclidean distance components for the more important data. Low transmission delay is obtained by matching the code rate and interleaver to the channel conditions (Doppler spread). Block coded 8-DPSK symbols with rate 1.5-2.25 information bits per symbol and code length 2 to 8 symbols have been designed and simulated for various values of Doppler spread which shows that gains of more than 15 dB can be obtained at a bit error rate of 10/sup -3/ for a fraction of the data that is deemed to be most important.<>","","0-7803-0591-4","10.1109/ICUPC.1992.240757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=240757","","Modulation coding;Error correction codes;Constellation diagram;Digital modulation;Fading;Land mobile radio cellular systems;Modular construction;Block codes;Rayleigh channels;Euclidean distance","","8","12","13","IEEE","6 Aug 2002","29 Sept.-1 Oct. 1992","29 Sept.-1 Oct. 1992","IEEE","IEEE Conferences"
"Parallel concatenated coding schemes for wireless application","S. Benedetto; R. Garello; G. Montorsi","Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy; Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy; Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy",ICUPC '98. IEEE 1998 International Conference on Universal Personal Communications. Conference Proceedings (Cat. No.98TH8384),"6 Aug 2002","1998","2","","807","811 vol.2","We design parallel concatenated convolutional coding (PCCC) schemes (""turbo codes"") suitable for wireless applications requiring short latencies. Particular attention is devoted to the comparison of different solutions for the code interleaver. A new algorithm is applied to the evaluation of the distance spectrum of the overall PCCC, and several interleaver alternatives are analyzed and compared using analytical upper bounds at low BER and simulation through the iterative decoding algorithm at high BER. The choice of the PCCC rate and of the interleaver length are based on the GSM system, so as to be able to compare the new solution with the results obtainable by the present channel coding standard, which, for TCH/FS GSM (full rate speech traffic channel), consists of a (53,50) parity check code followed by a 16-state rate 1/2 binary convolutional code.","1091-8442","0-7803-5106-1","10.1109/ICUPC.1998.733626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=733626","","Concatenated codes;Convolutional codes;Iterative algorithms;Algorithm design and analysis;Bit error rate;GSM;Delay;Upper bound;Analytical models;Iterative decoding","","2","","10","IEEE","6 Aug 2002","5-9 Oct. 1998","5-9 Oct. 1998","IEEE","IEEE Conferences"
"Transfer-Routing: A QOS-driven Routing and Multicast Architecture","B. Heinrichs; S. Neuhaser",RWTH Aachen; NA,Proceedings of the 6th IEEE Workshop on Local and Metropolitan Area Networks,"6 Aug 2002","1993","","","0_104","0_113","","","","10.1109/LMAN.1993.665377","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=665377","","Routing;Web and internet services;Performance loss;Jitter;Delay effects;Disruption tolerant networking;Time factors;Throughput;Error analysis","","1","","5","IEEE","6 Aug 2002","14-16 Oct. 1996","14-16 Oct. 1996","IEEE","IEEE Conferences"
"A comparison of two methods for erasure generation in frequency-hop communications with partial-band interference and Rayleigh fading","M. B. Pursley; C. S. Wilkins","Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA; Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, USA",Proceedings of MILCOM '96 IEEE Military Communications Conference,"6 Aug 2002","1996","1","","85","89 vol.1","The erasure of unreliable symbols prior to decoding can significantly improve the performance of frequency-hop communications with Reed-Solomon decoding. Two methods are considered in this paper for obtaining side information which can be used to declare erasures. One method declares erasures based on the number of errors made in demodulating a known sequence of test symbols. The second method, which is a special form of concatenated coding, attaches a parity check symbol to subsets of code symbols and declares erasures when errors are detected by the parity check code. The performance of each of these methods is evaluated for frequency-hop communications over channel with Rayleigh fading, partial-band interference, and thermal noise.","","0-7803-3682-8","10.1109/MILCOM.1996.568589","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=568589","","Frequency;Interference;Parity check codes;Rayleigh channels;Testing;Decoding;Reed-Solomon codes;Power system modeling;Spread spectrum communication;Concatenated codes","","4","5","9","IEEE","6 Aug 2002","24-24 Oct. 1996","24-24 Oct. 1996","IEEE","IEEE Conferences"
"A new class of t-error correcting/d-error detecting (d>t) and all unidirectional error detecting codes","D. K. Bhattacharryya; S. Nandi","Dept. of Comput. Sci., Tezpur Univ., India; NA",Proceedings Pacific Rim International Symposium on Fault-Tolerant Systems,"6 Aug 2002","1997","","","41","46","In this paper, a new class of t-error correcting/d-error detecting and all unidirectional error detecting (t-EC/d-ED/AUED) codes has been proposed. Compared to the published results, this scheme, in general, needs less or equal number of check bits. Further, both the encoding/decoding algorithms for this class of codes can be implemented with faster and simpler hardware. In case of ROM implementation, the proposed scheme results in significant saving in word length.","","0-8186-8212-4","10.1109/PRFTS.1997.640123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=640123","","Error correction;Parity check codes;Hamming distance;Combinational circuits","","","","11","IEEE","6 Aug 2002","15-16 Dec. 1997","15-16 Dec. 1997","IEEE","IEEE Conferences"
"Block coded modulation on the Rician fading channel","E. Paravalos","Department of Electrical Engineering, Technical University of Nova Scotia, Halifax, NS, Canada",Proceedings of IEEE Pacific Rim Conference on Communications Computers and Signal Processing,"6 Aug 2002","1993","1","","301","304 vol.1","The author investigates the performance of block coded modulation schemes on the Rician fading channel using the MPSK (Mary phase shift keying) and FPM (frequency/phase modulation) signal sets. The analysis leads to the formulation of design criteria essential for the selection of ""good"" codes on the Rician channel. It is shown that the length of the shortest error event path and the product of branch distances on that path dominate the performance on severe fading channels. In channels with a strong specular component, the minimum squared distance of the code becomes a significant design criterion as well. It is also shown that the value of the shortest error event path is directly related to the Hamming distance of the block codes comprising the encoding section. The validity of the design criteria for the fading channel is demonstrated by simulations.<>","","0-7803-0971-5","10.1109/PACRIM.1993.407164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=407164","","Modulation coding;Rician channels;Fading;Block codes;Hamming distance;Phase modulation;Performance analysis;Bandwidth;Viterbi algorithm;AWGN channels","","","","8","IEEE","6 Aug 2002","19-21 May 1993","19-21 May 1993","IEEE","IEEE Conferences"
"Skewness and pseudocodewords in iterative decoding","B. J. Frey; R. Kotter; A. Vardy","Beckman Institute for Advanced Science and Technology and Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, USA; Beckman Institute for Advanced Science and Technology and Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, USA; Beckman Institute for Advanced Science and Technology and Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, USA",Proceedings. 1998 IEEE International Symposium on Information Theory (Cat. No.98CH36252),"6 Aug 2002","1998","","","148","","Impressive performances by low-density parity-check codes and turbo codes have inspired researchers to determine how their iterative decoders depart from optimal decoding. Iterative decoding can be viewed as the application of the sum-product or min-sum algorithm in a graph that describes the constraints on a system of variables. The authors discuss here how iterative decoding maximizes correlation, and skewness and pseudocodewords in the decoding tree.","","0-7803-5000-6","10.1109/ISIT.1998.708741","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=708741","","Iterative decoding;Tree graphs;Iterative algorithms;Predictive models;Bit error rate;Parity check codes;Viterbi algorithm;AWGN channels;Computational modeling;Integrated circuit modeling","","18","","6","IEEE","6 Aug 2002","16-21 Aug. 1998","16-21 Aug. 1998","IEEE","IEEE Conferences"
"Bandwidth- and power-efficient pragmatic codes","F. Hemmati","COMSAT Laboratories, Clarksburg, MD, USA",Proceedings of GLOBECOM '93. IEEE Global Telecommunications Conference,"6 Aug 2002","1993","","","1439","1443 vol.3","Pragmatic trellis codes yield high bandwidth and power efficiency with low-complexity implementation. The paper presents techniques for constructing simple codes that build upon pragmatic codes. The generated codes can be decoded by using the available pragmatic decoder chips. By combining pragmatic code construction with periodically time-varying trellis code construction, high-rate codes that compare favourably with optimum trellis codes can be obtained. Moreover, the pragmatic approach can be combined with multistage coding to generate bandwidth- and power-efficient codes that outperform optimum trellis codes, and offer low complexity of implementation.<>","","0-7803-0917-0","10.1109/GLOCOM.1993.318311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=318311","","Convolutional codes;Quadrature phase shift keying;Decoding;Modulation coding;Convolution;Euclidean distance;Phase shift keying;Hardware;Laboratories;Bandwidth","","","","9","IEEE","6 Aug 2002","29 Nov.-2 Dec. 1993","29 Nov.-2 Dec. 1993","IEEE","IEEE Conferences"
"Multistage decoding using erasing technique for multilevel coding","K. Fazel; A. Chouly","Laboratoires d'Electronique Philips, Limeil Brevannes, France; Laboratoires d'Electronique Philips, Limeil Brevannes, France",IEEE Global Telecommunications Conference GLOBECOM '91: Countdown to the New Millennium. Conference Record,"6 Aug 2002","1991","","","779","784 vol.2","Families of BCM (block-coded modulation) that allow the use of suboptimal multistage decoding procedures having performance/complexity advantages over MLD (maximum likelihood decoding) are proposed. The process of decoding is performed in two steps: a first estimate of the codeword is obtained by a hard decision device, and the associated decoding is carried out to correct the eventual errors. The criterion of erasing, i.e. how to define the erasing procedure in the first step of decoding in order to maximize the coding gain, is discussed for both PSK and QAM modulations. The erasing technique is performed by defining some 'erasing-areas'. The analytic results show that significant coding gain can be achieved with respect to a nonerased equivalent scheme.<>","","0-87942-697-7","10.1109/GLOCOM.1991.188489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=188489","","Maximum likelihood decoding;Modulation coding;AWGN;Hardware;Convolutional codes;Concatenated codes;Electronic switching systems;Phase shift keying;Quadrature amplitude modulation;Digital modulation","","2","","11","IEEE","6 Aug 2002","2-5 Dec. 1991","2-5 Dec. 1991","IEEE","IEEE Conferences"
"On computing undetected error probabilities on the Gilbert channel","B. Wong; C. Leung","Department of Electrical Engineering, University of British Columbia, Vancouver, BC, Canada; Department of Electrical Engineering, University of British Columbia, Vancouver, BC, Canada",1992 IEEE International Conference on Selected Topics in Wireless Communications,"6 Aug 2002","1992","","","356","359","The authors examine methods for computing the probability of undetected error on the Gilbert channel. First, using Monte Carlo simulation they study the standard cyclic redundancy codes and compare the results with those on the binary symmetric channel. Then the authors consider a general method of approximate code evaluation which involves P(m,n), the probability of m errors in a block of length n bits. A nonrecursive technique for computing P(m,n) on the Gilbert channel is derived. Finally, it is shown how the symmetries of the Gilbert channel can lead to useful results for dealing with cyclic codes.<>","","0-7803-0723-2","10.1109/ICWC.1992.200782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=200782","","Code standards;Bit error rate;Monte Carlo methods;Block codes;Hamming weight;Cyclic redundancy check codes;Cyclic redundancy check;Computational modeling;Parity check codes","","3","","9","IEEE","6 Aug 2002","25-26 June 1992","25-26 June 1992","IEEE","IEEE Conferences"
"Multistage decoding of block multidimensional M-PSK modulation codes","N. L. Guerrero; J. Portugheis","School of Electrical and Computer Engineering Department of Communications, State University of Campinas-UNICAMP, Sao Paulo, Brazil; NA",ITS'98 Proceedings. SBT/IEEE International Telecommunications Symposium (Cat. No.98EX202),"6 Aug 2002","1998","2","","462","467 vol.2","A class of block multidimensional M-PSK modulation codes was proposed by Portugeis (1991) and some 8-PSK codes were constructed. In comparison with codes using two-dimensional modulation, the constructed codes showed better phase symmetry properties and lower first error coefficients with multistage decoding. However, the trade-off between performance and decoding complexity was not thoroughly investigated. This paper presents a performance comparison of multistage decoding schemes for the constructed codes on an AWGN channel. Upper bounds to block error probability (P/sub B/) for these schemes are obtained and their tightness confirmed by simulation. One of the schemes has a coding gain of 3.9 dB over uncoded 4-PSK at P/sub B/=10/sup -4/ and a gain of 0.3 dB over a two-dimensional 8-PSK code with similar parameters at the cost of an acceptable increase in decoding complexity.","","0-7803-5030-8","10.1109/ITS.1998.718438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=718438","","Decoding;Multidimensional systems;Modulation coding;Gain;Phase modulation;AWGN channels;Upper bound;Error probability;Quadrature phase shift keying;Costs","","","","12","IEEE","6 Aug 2002","9-13 Aug. 1998","9-13 Aug. 1998","IEEE","IEEE Conferences"
"An efficient class of SEC-DED-AUED codes","D. K. Bhattacharryya; S. Nandi","Department of Computer Science, Tezpur University, Tezpur, Assam, India; Department of Computer Science&Engineering., Indian Institute of Technology, Guwahati, Assam, India","Proceedings of the 1997 International Symposium on Parallel Architectures, Algorithms and Networks (I-SPAN'97)","6 Aug 2002","1997","","","410","416","In this paper, an efficient method for constructing a class of Single Error Correcting and Double Error Detecting and All Unidirectional Error Detecting (SEC-DED-AUED) codes has been presented. The encoding/decoding algorithms proposed with this method can be implemented with a simple and faster hardware. Also, in ROM based implementation, it results in significant saving of word-length. This scheme in general, needs less or equal number of check bits.","1087-4089","0-8186-8259-6","10.1109/ISPAN.1997.645128","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=645128","","Error correction codes;Computer errors;Circuit faults;Read only memory;Hardware;Hamming distance;Error correction;Very large scale integration;Decoding;Power supplies","","8","","17","IEEE","6 Aug 2002","20-20 Dec. 1997","20-20 Dec. 1997","IEEE","IEEE Conferences"
"Decoding low-density generator matrix codes with the aid of comma-free source codes","J. W. Bond; S. Hui; H. Schmidt","Science Applications International Corporation, San Diego, CA, USA; Department of Mathematics, San Diego State University, San Diego, CA, USA; NA",1998 Information Theory Workshop (Cat. No.98EX131),"6 Aug 2002","1998","","","75","76","Low-density generator matrix with iterative belief propagation decoding comma-free source codes are natural choices for noisy channel encoding and source coding, respectively. In earlier work, we found that avoiding 6 cycles had little impact on the performance of a code established by performing a fixed number of decoding algorithm iterations. In this work, we carried out a more detailed investigation of the decoding algorithm and found that the comma-free codes call be effectively used as an outer error-detection-correction-code for a low-density generator matrix inner code.","","0-7803-4408-1","10.1109/ITW.1998.706442","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706442","","Convergence;Belief propagation;Iterative decoding;Iterative algorithms;Electronic mail;Equations;Bonding;Noise generators;Maximum likelihood decoding;Approximation algorithms","","1","1","10","IEEE","6 Aug 2002","22-26 June 1998","22-26 June 1998","IEEE","IEEE Conferences"
