ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:11354130,book,Key Study Cases of Generative AI Applications to Communications Systems,"Mehdi Letafati, Samad Ali, Matti Latva&#x2010;aho","In this chapter, applications of generative AI (GenAI) in communication systems are studied. First, we review the main use cases of key generative models in communication networks. Then, we focus on denoising diffusion models, and with in&#x2010;depth technical and practical details, we show how diffusion models can help improve the performance of communication systems. Specifically, we show th...",,,10.1002/9781394293933.ch03,https://ieeexplore.ieee.org/document/11354130,new
ieee:11515225,early access article,Structured Codes for Distributed Matrix Multiplication,Derya Malak,"Our work addresses the well-known open problem of distributed computing of bilinear functions of two correlated sources A and B. In a setting with two nodes, with the first node having access to A and the second to B, we establish bounds on the optimal sum rate that allows a receiver to compute an important class of non-linear functions, and in particular bilinear functions, including dot products...",,,10.1109/TIT.2026.3692427,https://ieeexplore.ieee.org/document/11515225,new
ieee:11354115,book,Future AI&#x2010;empowered Communications Systems,"Nguyen Van Huynh, Thien Huynh&#x2010;The, Quoc&#x2010;Viet Pham","This chapter presents an overview of future communication systems and technologies such as terahertz band communications, non&#x2010;terrestrial networks, quantum internet, intelligent reflecting surfaces, extremely large&#x2010;scale multiple&#x2010;input&#x2010;multiple&#x2010;output (MIMO) systems, and open radio access networks. Then, their associated design challenges will be discussed in ...",,,10.1002/9781394293933.ch01,https://ieeexplore.ieee.org/document/11354115,new
ieee:11393477,early access article,Quantum Communication for Semantic Communication Based Image Transmission,"Udara Jayasinghe, Prabhath Samarathunga, Nimesh Pollwaththage, Thanuj Fernando, Anil Fernando","The growing demand for reliable image transmission in noisy vehicular networks exposes the limitations of classical communication, which often suffers from bandwidth constraints and susceptibility to noise. Classical semantic communication addresses this by focusing on essential information, but it still struggles to maintain consistent image quality under adverse channel conditions. To address th...",,,10.1109/TVT.2026.3663843,https://ieeexplore.ieee.org/document/11393477,new
ieee:11527223,early access article,DJSCC-Enabled Multi-User Semantic CSI Feedback for Hybrid Beamforming in Dual-Polarized cmWave Massive MIMO,"Ziqi Han, Ziwei Wan, Hengwei Zhang, Keke Ying, Chabalala S. Chabalala, Dapeng Li, Wei Wang, Zhen Gao","Driven by the ultra-high throughput requirements of 6G, wireless communications are migrating to centimeter wave (cmWave) bands to overcome the limitations of current spectral resources. Massive multiple-input multiple-output (MIMO) and orthogonal frequency division multiplexing (OFDM) systems aim to achieve high spectral efficiency in cmWave regimes but are often constrained by the heavy overhead...",,,10.1109/JIOT.2026.3695358,https://ieeexplore.ieee.org/document/11527223,new
ieee:11503859,early access article,Semantic Communication Enabled Holographic Video Processing and Transmission,"Jingkai Ying, Zhiyuan Qi, Yulong Feng, Zhijin Qin, Zhu Han, Rahim Tafazolli, Yonina C. Eldar","Holographic video communication is considered a paradigm shift in visual communications, becoming increasingly popular for its ability to offer immersive experiences. This article provides an overview of holographic video communication and outlines the requirements of a holographic video communication system. Particularly, following a brief review of semantic communication, an architecture for a s...",,,10.1109/MCOM.001.2500333,https://ieeexplore.ieee.org/document/11503859,new
ieee:11434903,early access article,Wirelessly Controllable Modular Reflectarray for Satellite High-Gain Earth Observation and Communication Antennas,"Bruno Correia, S´ ergio Cunha, William H. Yatman Yatman, Benedikt Byrne, Petronilo Martin-Iglesias","This article presents the SATORI (Smart reflect Array anTennas fOr eaRth observatIon) system, a novel X band, electronically steerable reflectarray designed to address size, weight, power, and complexity (SWaP-C) challenges in modern satellite platforms. The core innovation is an out-of-band, over-the-air command-and-control plane that eliminates data harnessing across the aperture. The aperture i...",,,10.1109/MAES.2026.3674109,https://ieeexplore.ieee.org/document/11434903,new
ieee:11483122,early access article,Holo-Code: A Robust and Statistically Lossless Holographic Watermarking Framework for AIGC in Cloud-Edge IoT,"Hang Fu, Yu Cui, Licheng Wang, Junke Duan, Liehuang Zhu","The proliferation of AI-Generated Content (AIGC) within cloud-edge IoT ecosystems necessitates robust provenance mechanisms to ensure copyright protection and forensic traceability. However, the open distribution mechanism of AIGC exposes proprietary assets to risks of unauthorized replication and misuse. While watermarking offers a solution, existing schemes face a critical dilemma in IoT environ...",,,10.1109/JIOT.2026.3684800,https://ieeexplore.ieee.org/document/11483122,new
ieee:11354135,book,Summary and Future Research,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo",This chapter summarizes the key contributions of the book and outlines future research directions in quantum error correction. It revisits the motivation for quantum error correction codes and the role of quantum stabilizer codes (QSCs) in mitigating quantum decoherence. The chapter emphasizes the importance of fault&#x2010;tolerant quantum gate protection and highlights the challenge of concei...,,,10.1002/9781394331963.ch15,https://ieeexplore.ieee.org/document/11354135,new
ieee:11354099,book,Introduction,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo","The motivation of quantum error correction codes (QECCs) is that of mitigating quantum decoherence. The chapter outlines the historical evolution of QECCs, beginning with Shor&#39;s 9&#x2010;qubit code and progressing through Steane&#39;s and Laflamme&#39;s constructions. It introduces key families of quantum codes, including quantum stabilizer codes, quantum topological error correction codes, quantum con...",,,10.1002/9781394331963.ch01,https://ieeexplore.ieee.org/document/11354099,new
